日付,銘柄名,コード,業種,TOPIXに占める個別銘柄のウエイト,ニューインデックス区分
20241031,三井住友建設,1821,建設業,0.0080%,TOPIX Small 1
20241031,大豊建設,1822,建設業,0.0025%,TOPIX Small 2
20241031,佐田建設,1826,建設業,0.0002%,TOPIX Small 2
20241031,ナカノフドー建設,1827,建設業,0.0001%,TOPIX Small 2
20241031,奥村組,1833,建設業,0.0193%,TOPIX Small 1
20241031,東鉄工業,1835,建設業,0.0092%,TOPIX Small 1
20241031,イチケン,1847,建設業,0.0002%,TOPIX Small 2
20241031,富士ピー・エス,1848,建設業,0.0001%,TOPIX Small 2
20241031,淺沼組,1852,建設業,0.0067%,TOPIX Small 1
20241031,戸田建設,1860,建設業,0.0290%,TOPIX Mid400
20241031,熊谷組,1861,建設業,0.0148%,TOPIX Small 1
20241031,北野建設,1866,建設業,0.0002%,TOPIX Small 2
20241031,植木組,1867,建設業,0.0001%,TOPIX Small 2
20241031,矢作建設工業,1870,建設業,0.0052%,TOPIX Small 2
20241031,ピーエス・コンストラクション,1871,建設業,0.0018%,TOPIX Small 2
20241031,日本ハウスホールディングス,1873,建設業,0.0017%,TOPIX Small 2
20241031,大東建託,1878,不動産業,0.1464%,TOPIX Mid400
20241031,新日本建設,1879,建設業,0.0055%,TOPIX Small 2
20241031,サムティホールディングス,187A,不動産業,0.0164%,TOPIX Small 1
20241031,東亜道路工業,1882,建設業,0.0056%,TOPIX Small 2
20241031,日本道路,1884,建設業,0.0042%,TOPIX Small 1
20241031,東亜建設工業,1885,建設業,0.0076%,TOPIX Small 1
20241031,日本国土開発,1887,建設業,0.0037%,TOPIX Small 2
20241031,若築建設,1888,建設業,0.0027%,TOPIX Small 2
20241031,東洋建設,1890,建設業,0.0096%,TOPIX Small 1
20241031,五洋建設,1893,建設業,0.0212%,TOPIX Mid400
20241031,世紀東急工業,1898,建設業,0.0054%,TOPIX Small 1
20241031,福田組,1899,建設業,0.0055%,TOPIX Small 2
20241031,日本ドライケミカル,1909,機械,0.0002%,TOPIX Small 2
20241031,住友林業,1911,建設業,0.1305%,TOPIX Mid400
20241031,日本基礎技術,1914,建設業,0.0001%,TOPIX Small 2
20241031,巴コーポレーション,1921,建設業,0.0003%,TOPIX Small 2
20241031,大和ハウス工業,1925,建設業,0.3501%,TOPIX Large70
