ticker,market_cap_mil_jpy,shares_outstanding,dividend_yield_pct,dividend_per_share_yen,per,pbr,eps_yen,bps_yen,roe_pct,equity_ratio_pct,min_lot_price_yen,trading_unit_shares,ytd_high_yen,ytd_high_date,ytd_low_yen,ytd_low_date,asof_date
8343.T,64685,18093643,4.2,150.0,9.74,0.38,366.87,9397.8,3.45,4.5,357500,100,3680,2025-08-25,1950,2025-04-07,2025-10-24
8344.T,52190,32216115,3.46,56.0,10.23,0.36,158.35,4562.28,3.16,4.3,162000,100,1713,2025-09-30,970,2025-01-14,2025-10-24
8345.T,72419,18497786,3.45,135.0,8.98,0.35,435.98,11156.89,3.64,4.8,391500,100,4055,2025-10-21,2371,2025-04-07,2025-10-24
8346.T,114383,252500000,2.21,10.0,14.14,0.55,32.04,819.71,3.69,2.9,45300,100,470,2025-09-30,286,2025-01-14,2025-10-24
8349.T,12363,9509963,3.85,50.0,7.23,0.33,179.85,3888.03,2.86,3.5,130000,100,1478,2025-08-20,905,2025-04-07,2025-10-24
8354.T,827629,191138265,3.93,170.0,10.23,0.84,423.12,5128.45,7.4,2.8,433000,100,4642,2025-08-26,2917,2025-04-07,2025-10-24
8358.T,297680,197139248,2.45,37.0,12.51,0.91,120.68,1657.44,6.83,8.5,151000,100,1589,2025-09-26,1048,2025-04-07,2025-10-24
8359.T,726826,493767424,3.4,50.0,13.57,0.68,108.46,2173.77,4.62,7.1,147200,100,1573,2025-09-26,783,2025-04-07,2025-10-24
8360.T,104742,32783000,3.44,110.0,11.63,0.44,274.69,7258.59,3.57,4.6,319500,100,3325,2025-10-09,1537,2025-04-07,2025-10-24
8361.T,154151,41831897,2.44,90.0,10.23,0.47,360.29,7860.83,4.48,4.8,368500,100,3770,2025-10-09,1825,2025-04-07,2025-10-24
8362.T,51163,24144669,2.74,58.0,11.15,0.35,190.05,6016.7,5.27,3.1,211900,100,2165,2025-09-26,1371,2025-04-07,2025-10-24
8364.T,23434,11641318,2.98,60.0,11.32,0.31,177.83,6555.48,2.48,4.0,201300,100,2085,2025-09-12,1200,2025-04-07,2025-10-24
8365.T,9277,5444400,2.93,50.0,12.1,0.31,140.78,5463.5,3.24,5.1,170400,100,1799,2025-09-30,1399,2025-04-07,2025-10-24
8366.T,326504,53090081,2.11,130.0,14.17,0.62,434.01,9915.15,4.0,5.9,615000,100,6890,2025-08-18,3830,2025-01-14,2025-10-24
8367.T,164963,33025656,3.8,190.0,10.46,0.54,477.62,9206.5,4.69,4.0,499500,100,5130,2025-08-25,2960,2025-04-07,2025-10-24
8368.T,237093,254119000,2.57,24.0,12.36,0.51,75.46,1824.45,3.87,5.9,93300,100,951,2025-10-16,550,2025-04-07,2025-10-24
8370.T,200689,67300000,3.89,116.0,10.33,0.79,288.77,3767.35,7.46,4.0,298200,100,3055,2025-09-12,1861,2025-04-07,2025-10-24
8377.T,442970,123458714,1.95,70.0,10.7,0.67,335.42,5341.08,5.95,4.0,358800,100,3897,2025-09-11,1831,2025-04-07,2025-10-24
8381.T,211135,156977472,4.16,56.0,9.73,0.65,138.26,2059.91,5.88,3.6,134500,100,1426,2025-09-26,980,2025-04-07,2025-10-24
8383.T,13083,9619938,3.68,50.0,10.18,0.26,133.55,5200.74,2.68,4.3,136000,100,1392,2025-09-26,1061,2025-04-07,2025-10-24
8386.T,145440,28630000,3.46,176.0,9.31,0.43,545.38,11847.03,4.17,5.7,508000,100,5230,2025-10-21,2553,2025-04-07,2025-10-24
8387.T,60208,42400000,3.52,50.0,3.82,0.36,371.37,3967.17,4.15,4.7,142000,100,1558,2025-09-30,935,2025-04-07,2025-10-24
